Date,Close,Close_Scaled,Lag_1,Lag_2,Lag_3
2021-02-04,2802.893310546875,0.14631640182125327,0.15208631986374432,0.1537777718835749,0.12189285140489003
2021-02-05,2776.08154296875,0.13114513815988404,0.14631640182125327,0.15208631986374432,0.1537777718835749
2021-02-08,2825.441650390625,0.15907523273006619,0.13114513815988404,0.14631640182125327,0.15208631986374432
2021-02-09,2792.739990234375,0.14057121180159382,0.15907523273006619,0.13114513815988404,0.14631640182125327
2021-02-10,2824.738037109375,0.15867709774794014,0.14057121180159382,0.15907523273006619,0.13114513815988404
2021-02-11,2818.321044921875,0.15504608460768976,0.15867709774794014,0.14057121180159382,0.15907523273006619
2021-02-12,2804.958984375,0.14748524987252631,0.15504608460768976,0.15867709774794014,0.14057121180159382
2021-02-15,2760.170166015625,0.122141789377753,0.14748524987252631,0.15504608460768976,0.15867709774794014
2021-02-16,2732.874755859375,0.10669685972068921,0.122141789377753,0.14748524987252631,0.15504608460768976
2021-02-17,2701.491943359375,0.08893910012929007,0.10669685972068921,0.122141789377753,0.14748524987252631
2021-02-18,2687.646240234375,0.08110459939843206,0.08893910012929007,0.10669685972068921,0.122141789377753
2021-02-19,2700.392822265625,0.08831716963326941,0.08110459939843206,0.08893910012929007,0.10669685972068921
2021-02-22,2600.705322265625,0.03190964850151623,0.08831716963326941,0.08110459939843206,0.08893910012929007
2021-02-23,2619.825439453125,0.042728641999151495,0.03190964850151623,0.08831716963326941,0.08110459939843206
2021-02-24,2591.6064453125,0.026761108373530185,0.042728641999151495,0.03190964850151623,0.08831716963326941
2021-02-25,2633.0986328125,0.05023919181637826,0.026761108373530185,0.042728641999151495,0.03190964850151623
2021-02-26,2544.312255859375,0.0,0.05023919181637826,0.026761108373530185,0.042728641999151495
2021-03-01,2570.597412109375,0.01487328407897981,0.0,0.05023919181637826,0.026761108373530185
2021-03-02,2642.813232421875,0.05573613459006932,0.01487328407897981,0.0,0.05023919181637826
2021-03-03,2689.18408203125,0.0819747771404209,0.05573613459006932,0.01487328407897981,0.0
2021-03-04,2680.92138671875,0.07729938493532917,0.0819747771404209,0.05573613459006932,0.01487328407897981
2021-03-05,2644.307861328125,0.0565818605999846,0.07729938493532917,0.0819747771404209,0.05573613459006932
2021-03-08,2643.340576171875,0.05603452860859548,0.0565818605999846,0.07729938493532917,0.0819747771404209
2021-03-09,2682.02001953125,0.07792103914059201,0.05603452860859548,0.0565818605999846,0.07729938493532917
2021-03-10,2699.601318359375,0.08786930231472234,0.07792103914059201,0.05603452860859548,0.0565818605999846
2021-03-12,2688.17333984375,0.08140285527157931,0.08786930231472234,0.07792103914059201,0.05603452860859548
2021-03-15,2695.3818359375,0.08548173573037654,0.08140285527157931,0.08786930231472234,0.07792103914059201
2021-03-16,2733.973388671875,0.10731851392595204,0.08548173573037654,0.08140285527157931,0.08786930231472234
2021-03-17,2736.522216796875,0.1087607516821616,0.10731851392595204,0.08548173573037654,0.08140285527157931
2021-03-18,2669.317138671875,0.07073319692858604,0.1087607516821616,0.10731851392595204,0.08548173573037654
2021-03-19,2681.360595703125,0.0775479084720554,0.07073319692858604,0.1087607516821616,0.10731851392595204
2021-03-22,2751.203125,0.11706784775439849,0.0775479084720554,0.07073319692858604,0.1087607516821616
2021-03-23,2762.58740234375,0.12350956677471014,0.11706784775439849,0.0775479084720554,0.07073319692858604
2021-03-24,2743.687255859375,0.11281504226350636,0.12350956677471014,0.11706784775439849,0.0775479084720554
2021-03-25,2694.23876953125,0.08483493906614537,0.11281504226350636,0.12350956677471014,0.11706784775439849
2021-03-26,2695.952880859375,0.0858048577717343,0.08483493906614537,0.11281504226350636,0.12350956677471014
2021-03-30,2776.6083984375,0.13144325588765238,0.0858048577717343,0.08483493906614537,0.11281504226350636
2021-03-31,2793.5751953125,0.1410438071429725,0.13144325588765238,0.0858048577717343,0.08483493906614537
2021-04-01,2782.27880859375,0.13465182045908186,0.1410438071429725,0.13144325588765238,0.0858048577717343
2021-04-05,2847.24169921875,0.17141064805240558,0.13465182045908186,0.1410438071429725,0.13144325588765238
2021-04-06,2869.922607421875,0.18424449190198677,0.17141064805240558,0.13465182045908186,0.1410438071429725
2021-04-07,2875.8125,0.1875772491690899,0.18424449190198677,0.17141064805240558,0.13465182045908186
2021-04-08,2916.205810546875,0.21043354026129624,0.1875772491690899,0.18424449190198677,0.17141064805240558
2021-04-09,2920.513671875,0.21287111547282112,0.21043354026129624,0.1875772491690899,0.18424449190198677
2021-04-12,2853.967529296875,0.17521641509702413,0.21287111547282112,0.21043354026129624,0.1875772491690899
2021-04-13,2728.698486328125,0.10433374486841718,0.17521641509702413,0.21287111547282112,0.21043354026129624
2021-04-15,2829.70458984375,0.16148738919186467,0.10433374486841718,0.17521641509702413,0.21287111547282112
2021-04-16,2808.78271484375,0.14964888279759858,0.16148738919186467,0.10433374486841718,0.17521641509702413
2021-04-19,2779.465576171875,0.13305997125747226,0.14964888279759858,0.16148738919186467,0.10433374486841718
2021-04-20,2764.301513671875,0.12447948548029886,0.13305997125747226,0.14964888279759858,0.16148738919186467
2021-04-22,2741.6650390625,0.111670784089686,0.12447948548029886,0.13305997125747226,0.14964888279759858
2021-04-23,2733.490234375,0.10704512422101531,0.111670784089686,0.12447948548029886,0.13305997125747226
2021-04-26,2725.842041015625,0.10271744393473403,0.10704512422101531,0.111670784089686,0.12447948548029886
2021-04-27,2753.26904296875,0.11823683395105022,0.10271744393473403,0.10704512422101531,0.111670784089686
2021-04-28,2746.324462890625,0.11430728864689499,0.11823683395105022,0.10271744393473403,0.10704512422101531
2021-04-29,2738.544677734375,0.10990514800136086,0.11430728864689499,0.11823683395105022,0.10271744393473403
2021-04-30,2668.56982421875,0.0703103339236284,0.10990514800136086,0.11430728864689499,0.11823683395105022
2021-05-03,2669.756591796875,0.07098185861069117,0.0703103339236284,0.10990514800136086,0.11430728864689499
2021-05-04,2680.964599609375,0.07732383666740295,0.07098185861069117,0.0703103339236284,0.10990514800136086
2021-05-05,2721.358642578125,0.10018054219574601,0.07732383666740295,0.07098185861069117,0.0703103339236284
2021-05-06,2735.20361328125,0.10801462849046728,0.10018054219574601,0.07732383666740295,0.07098185861069117
2021-05-07,2754.06005859375,0.11868442497883946,0.10801462849046728,0.10018054219574601,0.07732383666740295
2021-05-10,2765.13671875,0.12495208082167752,0.11868442497883946,0.10801462849046728,0.10018054219574601
2021-05-11,2745.005859375,0.11356116545520067,0.12495208082167752,0.11868442497883946,0.10801462849046728
2021-05-12,2714.23828125,0.09615153221874873,0.11356116545520067,0.12495208082167752,0.11868442497883946
2021-05-14,2682.5029296875,0.0781942907001496,0.09615153221874873,0.11356116545520067,0.12495208082167752
2021-05-17,2698.546630859375,0.08727251427767024,0.0781942907001496,0.09615153221874873,0.11356116545520067
2021-05-18,2715.29248046875,0.096748043965043,0.08727251427767024,0.0781942907001496,0.09615153221874873
2021-05-19,2709.3154296875,0.0933659687976558,0.096748043965043,0.08727251427767024,0.0781942907001496
2021-05-20,2689.975341796875,0.08242250631358905,0.0933659687976558,0.096748043965043,0.08727251427767024
2021-05-21,2707.996337890625,0.09261956931520365,0.08242250631358905,0.0933659687976558,0.096748043965043
2021-05-24,2708.87548828125,0.09311703082479283,0.09261956931520365,0.08242250631358905,0.0933659687976558
2021-05-25,2750.83544921875,0.11685980081370384,0.09311703082479283,0.09261956931520365,0.08242250631358905
2021-05-26,2790.146484375,0.1391036934410368,0.11685980081370384,0.09311703082479283,0.09261956931520365
2021-05-27,2809.138916015625,0.14985043690548272,0.1391036934410368,0.11685980081370384,0.09311703082479283
2021-05-28,2776.983642578125,0.13165558533509425,0.14985043690548272,0.1391036934410368,0.11685980081370384
2021-05-31,2790.720458984375,0.13942847322694196,0.13165558533509425,0.14985043690548272,0.1391036934410368
2021-06-01,2785.287353515625,0.13635418596384907,0.13942847322694196,0.13165558533509425,0.14985043690548272
2021-06-02,2764.484375,0.12458295636913053,0.13635418596384907,0.13942847322694196,0.13165558533509425
2021-06-03,2774.90771484375,0.1304809351779055,0.12458295636913053,0.13635418596384907,0.13942847322694196
2021-06-04,2777.1162109375,0.13173059827586275,0.1304809351779055,0.12458295636913053,0.13635418596384907
2021-06-07,2811.965576171875,0.15144988410293414,0.13173059827586275,0.1304809351779055,0.12458295636913053
2021-06-08,2826.9384765625,0.15992220204839191,0.15144988410293414,0.13173059827586275,0.1304809351779055
2021-06-09,2827.026611328125,0.15997207253019186,0.15992220204839191,0.15144988410293414,0.13173059827586275
2021-06-10,2841.6474609375,0.1682451848392077,0.15997207253019186,0.15992220204839191,0.15144988410293414
2021-06-11,2891.999755859375,0.19673670222943151,0.1682451848392077,0.15997207253019186,0.15992220204839191
2021-06-14,2894.2529296875,0.1980116459317358,0.19673670222943151,0.1682451848392077,0.15997207253019186
2021-06-15,2882.23779296875,0.19121295925222448,0.1980116459317358,0.19673670222943151,0.1682451848392077
2021-06-16,2892.485595703125,0.19701161153353652,0.19121295925222448,0.1980116459317358,0.19673670222943151
2021-06-17,2930.82373046875,0.21870499482576466,0.19701161153353652,0.19121295925222448,0.1980116459317358
2021-06-18,2912.759033203125,0.20848320380131868,0.21870499482576466,0.19701161153353652,0.19121295925222448
2021-06-21,2891.381103515625,0.1963866418391791,0.20848320380131868,0.21870499482576466,0.19701161153353652
2021-06-22,2916.204345703125,0.21043271138902275,0.1963866418391791,0.20848320380131868,0.21870499482576466
